CNN,STREET,COLOR
25138000,EDDY,Green
25138000,HYDE,Green
33738000,LAKE MERCED,Green
33738000,LAKE MERCED HILL,Green
22554000,BROTHERHOOD,Green
22554000,CHUMASERO,Green
22554000,THOMAS MORE,Green
24134000,17TH ST,Green
24134000,FOLSOM,Green
24496000,BEALE,Green
24496000,FOLSOM,Green
27707000,LAWTON,Green
27707000,SUNSET,Green
27462000,18TH AVE,Green
27462000,FULTON,Green
25088000,CALIFORNIA,Green
25088000,TAYLOR,Green
24934000,LEAVENWORTH,Green
24934000,TURK,Green
26553000,FRANKLIN,Green
26553000,VALLEJO,Green
24506000,BEALE,Yellow
24506000,HOWARD,Green
26042000,FULTON,Green
26042000,STEINER,Green
12553111,EMBARCADERO,Green
12553111,MIDBLOCK AT,Green
12553111,FERRY BUILDING,Green
12553111,WASHINGTON,Green
27232000,ARGUELLO,Green
27232000,CLEMENT,Green
25225000,CALIFORNIA,Green
25225000,VAN NESS,Green
21755000,ALEMANY,Green
21755000,OCEAN,Green
20313000,BAYSHORE,Green
20313000,LELAND,Green
25712000,18TH ST,Green
25712000,CHURCH,Green
25968000,FILLMORE,Green
25968000,MCALLISTER,Green
26592000,FILLMORE,Green
26592000,POST,Green
26409000,CLAYTON,Green
26409000,HAIGHT,Green
25184000,TURK,Green
25184000,VAN NESS,Green
21768000,EXCELSIOR,Green
21768000,MISSION,Green
24685000,CALIFORNIA,Green
24685000,SANSOME,Green
26587000,GEARY,Green
26587000,WEBSTER,Green
26909000,BLAKE,Green
26909000,GEARY,Green
33708000,BROTHERHOOD,Green
33708000,CHURCH PARKING LOT (655),Green
27229000,GEARY,Green
27229000,PALM,Green
24331000,FULTON,Green
24331000,HYDE,Green
26999000,FRANCISCO,Green
26999000,RICHARDSON,Green
30039000,BROADWAY,Green
30039000,SANSOME,Green
25049000,JACKSON,Green
25049000,POWELL,Green
23872000,08TH ST,Green
23872000,BRANNAN,Green
23075000,19TH AVE,Yellow
23075000,ROSSMOOR,Green
23075000,STONESTOWN,Green
24758000,COLUMBUS,Green
24758000,MONTGOMERY,Red
24758000,WASHINGTON,Green
24960000,GEARY,Green
24960000,JONES,Green
